state\symbol,space,unidentified,letter,digit,+,-,*,/,=,<,>,!,(,),{,},",",;,,,,,,
0,0,1,2,4,6,7,8,9,13,16,19,22,24,25,26,27,28,29,,,,,,
1,illegal character,,,,,,,,,,,,,,,,,,,,,,,
2,3,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,
3,variable identifier,,,,,,,,,,,,,,,,,,,,,,,
4,5,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,
5,integer,,,,,,,,,,,,,,,,,,,,,,,
6,addition operator,,,,,,,,,,,,,,,,,,,,,,,
7,subtraction operator,,,,,,,,,,,,,,,,,,,,,,,
8,multiplication operator,,,,,,,,,,,,,,,,,,,,,,,
9,10,1,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,,,,,,
10,division operator,,,,,,,,,,,,,,,,,,,,,,,
11,11,1,11,11,11,11,12,11,11,11,11,11,11,11,11,11,11,11,,,,,,
12,11,11,11,11,11,11,11,0,11,11,11,11,11,11,11,11,11,11,,,,,,
13,14,1,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,,,,,,
14,assignment operator,,,,,,,,,,,,,,,,,,,,,,,
15,equality operator,,,,,,,,,,,,,,,,,,,,,,,
16,17,1,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,,,,,,
17,less than operator,,,,,,,,,,,,,,,,,,,,,,,
18,less than equals operator,,,,,,,,,,,,,,,,,,,,,,,
19,20,1,20,20,20,20,20,20,21,20,20,20,20,20,20,20,20,20,,,,,,
20,greater than operator,,,,,,,,,,,,,,,,,,,,,,,
21,greater than equals operator,,,,,,,,,,,,,,,,,,,,,,,
22,1,1,1,1,1,1,1,1,23,1,1,1,1,1,1,1,1,1,,,,,,
23,not equals operator,,,,,,,,,,,,,,,,,,,,,,,
24,left parenthesis,,,,,,,,,,,,,,,,,,,,,,,
25,right parenthesis,,,,,,,,,,,,,,,,,,,,,,,
26,left brace,,,,,,,,,,,,,,,,,,,,,,,
27,right brace,,,,,,,,,,,,,,,,,,,,,,,
28,comma,,,,,,,,,,,,,,,,,,,,,,,
29,semicolon,,,,,,,,,,,,,,,,,,,,,,,
